calendar_year,event_id,tour
2023,17,liv
2023,10046,adt
2023,2023130,euro
2023,10044,pgt
2023,10043,ngl
2023,10047,bet
2023,2023311,cha
2023,122,kft
2023,57,sam
2023,524,pga
2023,2023129,euro
2023,10040,jpn
2023,3,can
2023,16,liv
2023,512,champ
2023,10034,alp
2023,10035,ngl
2023,69,can
2023,166,kft
2023,8,champ
2023,2023310,cha
2023,34,pga
2023,10031,asa
2023,10030,jpn
2023,60,sam
2023,2023128,euro
2023,10024,alp
2023,10020,jpn
2023,2023309,cha
2023,26,pga
2023,2,can
2023,23,kft
2023,10016,alp
2023,10017,ngl
2023,10021,atvt
2023,10012,atgt
2023,10013,kor
2023,10005,mex
2023,10011,jpn
2023,2023126,euro
2023,2023308,cha
2023,37,kft
2023,32,pga
2023,622,champ
2023,10008,alp
2023,10004,atvt
2023,10003,ngl
2023,10001,chn
2023,2023125,euro
2023,608,champ
2023,9996,alp
2023,2023307,cha
2023,59,sam
2023,23,pga
2023,48,kft
2023,10000,jpn
2023,9993,afr
2023,9992,ngl
2023,9991,pgt
2023,21,pga
2023,9988,kor
2023,11,kft
2023,9987,adt
2023,9989,afr
2023,15,liv
2023,11,sam
2023,9984,jpn
2023,9986,chn
2023,2023306,cha
2023,520,champ
2023,2023124,euro
2023,9985,atvt
2023,9979,alp
2023,9980,ngl
2023,2023305,cha
2023,100,kft
2023,33,pga
2023,9972,jpn
2023,9974,kor
2023,9975,afr
2023,9973,chn
2023,9976,mex
2023,9970,ngl
2023,9967,kor
2023,9966,chn
2023,14,liv
2023,2023122,euro
2023,19,pga
2023,558,champ
2023,9962,alp
2023,9965,atvt
2023,9963,ngl
2023,2023328,cha
2023,9959,anz
2023,15,champ
2023,22,sam
2023,9960,afr
2023,9958,asa
2023,2023117,euro
2023,480,pga
2023,9955,ngl
2023,2023121,euro
2023,615,champ
2023,13,liv
2023,8,sam
2023,2023327,cha
2023,9950,jpn
2023,134,kft
2023,540,pga
2023,9946,pgt
2023,9945,ngl
2023,9951,mgt
2023,9938,atgt
2023,12,liv
2023,129,kft
2023,2023120,euro
2023,9940,afr
2023,53,champ
2023,9939,kor
2023,18,pga
2023,9934,alp
2023,9937,pgti
2023,9936,atvt
2023,9942,mgt
2023,9952,ngl
2023,9926,asa
2023,9927,kor
2023,9925,jpn
2023,137,kft
2023,9928,afr
2023,12,pga
2023,9932,pgti
2023,9930,mex
2023,9922,ngl
2023,9929,mgt
2023,9931,pgt
2023,9921,ngl
2023,14,pga
2023,9920,pgti
2023,9919,atvt
2023,9918,pgt
2023,9916,afr
2023,167,kft
2023,9914,jpn
2023,41,pga
2023,6,sam
2023,11,liv
2023,9915,anz
2023,2023326,cha
2023,61,sam
2023,9905,asa
2023,2023325,cha
2023,2023119,euro
2023,9909,pgt
2023,522,pga
2023,128,kft
2023,56,champ
2023,10,liv
2023,9899,atgt
2023,9900,anz
2023,475,pga
2023,573,champ
2023,9897,asa
2023,2023118,euro
2023,42,sam
2023,9901,pgt
2023,11,pga
2023,9892,asa
2023,9894,afr
2023,2023114,euro
2023,9893,anz
2023,9,pga
2023,18,champ
2023,9885,anz
2023,483,pga
2023,9886,pgti
2023,9888,ngl
2023,9887,mex
2023,9889,ngl
2023,9884,alp
2023,9880,atgt
2023,9,liv
2023,9881,anz
2023,2023303,cha
2023,2023112,euro
2023,10,pga
2023,9877,alp
2023,9878,ngl
2023,9874,ngl
2023,7,pga
2023,9872,asa
2023,2023302,cha
2023,9873,anz
2023,552,champ
2023,2023111,euro
2023,9863,asa
2023,9865,anz
2023,2023301,cha
2023,3,pga
2023,104,kft
2023,2023110,euro
2023,624,champ
2023,9867,mex
2023,9864,pgti
2023,9866,mgt
2023,5,pga
2023,9857,anz
2023,2023300,cha
2023,84,kft
2023,2023109,euro
2023,9856,asa
2023,9858,mgt
2023,9849,anz
2023,2023108,euro
2023,9850,mex
2023,9848,atgt
2023,4,pga
2023,125,kft
2023,2,pga
2023,2023107,euro
2023,524,champ
2023,124,kft
2023,6,pga
2023,16,pga
2022,9839,chn
2022,9838,adt
2022,9837,pgti
2022,16,sam
2022,2023105,euro
2022,9835,chn
2022,9836,pgti
2022,9834,adt
2022,12,sam
2022,9830,anz
2022,9828,chn
2022,2023104,euro
2022,9829,adt
2022,9825,mgt
2022,478,pga
2022,9816,chn
2022,2023102,euro
2022,9817,asa
2022,9815,jpn
2022,13,sam
2022,2023103,euro
2022,9820,mgt
2022,2023100,euro
2022,9809,asa
2022,9808,jpn
2022,9811,pgti
2022,2023101,euro
2022,9810,adt
2022,2022143,euro
2022,9806,anz
2022,9802,jpn
2022,493,pga
2022,9805,atgt
2022,9804,pgti
2022,9807,bet
2022,539,champ
2022,9794,asa
2022,9793,chn
2022,9792,jpn
2022,9797,anz
2022,2022145,euro
2022,9796,kor
2022,20,pga
2022,9795,pgti
2022,457,pga
2022,9,champ
2022,9786,asa
2022,2022330,cha
2022,9788,afr
2022,9787,jpn
2022,9789,kor
2022,9783,afr
2022,8,liv
2022,528,pga
2022,2022156,euro
2022,9782,jpn
2022,9776,jpn
2022,623,champ
2022,9778,anz
2022,2022140,euro
2022,521,pga
2022,9777,pgti
2022,9773,ept
2022,9779,afr
2022,9774,ngl
2022,9770,anz
2022,2022324,cha
2022,7,liv
2022,609,champ
2022,9769,atgt
2022,2022139,euro
2022,527,pga
2022,9768,pgti
2022,9767,atvt
2022,9765,ngl
2022,9757,jpn
2022,44,champ
2022,6,liv
2022,9761,afr
2022,2022341,cha
2022,2022138,euro
2022,47,pga
2022,9760,kor
2022,9754,alp
2022,9758,atvt
